STATUS,TABLE,FIELD,CHECK,CATEGORY,SUBCATEGORY,LEVEL,NOTES,DESCRIPTION,% RECORDS
PASS,NOTE,None,measurePersonCompleteness,Completeness,None,TABLE,Exists,The number and percent of persons in the CDM that do not have at least one record in the NOTE table (Threshold=100%).,100.00%
PASS,SPECIMEN,None,measurePersonCompleteness,Completeness,None,TABLE,None,The number and percent of persons in the CDM that do not have at least one record in the SPECIMEN table (Threshold=100%).,100.00%
PASS,PAYER_PLAN_PERIOD,None,measurePersonCompleteness,Completeness,None,TABLE,None,The number and percent of persons in the CDM that do not have at least one record in the PAYER_PLAN_PERIOD table (Threshold=100%).,100.00%
PASS,DOSE_ERA,None,measurePersonCompleteness,Completeness,None,TABLE,None,The number and percent of persons in the CDM that do not have at least one record in the DOSE_ERA table (Threshold=100%).,100.00%
FAIL,PROVIDER,SPECIALTY_CONCEPT_ID,isForeignKey,Conformance,Relational,FIELD,None,The number and percent of records that have a value in the SPECIALTY_CONCEPT_ID field in the PROVIDER table that does not exist in the CONCEPT table. (Threshold=0%).,100.00%
FAIL,PROVIDER,SPECIALTY_SOURCE_CONCEPT_ID,isForeignKey,Conformance,Relational,FIELD,None,The number and percent of records that have a value in the SPECIALTY_SOURCE_CONCEPT_ID field in the PROVIDER table that does not exist in the CONCEPT table. (Threshold=0%).,100.00%
PASS,CARE_SITE,LOCATION_ID,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the LOCATION_ID of the CARE_SITE. (Threshold=100%).,100.00%
PASS,CARE_SITE,PLACE_OF_SERVICE_SOURCE_VALUE,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the PLACE_OF_SERVICE_SOURCE_VALUE of the CARE_SITE. (Threshold=100%).,100.00%
PASS,CONDITION_OCCURRENCE,CONDITION_STATUS_SOURCE_VALUE,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the CONDITION_STATUS_SOURCE_VALUE of the CONDITION_OCCURRENCE. (Threshold=100%).,100.00%
PASS,CONDITION_OCCURRENCE,STOP_REASON,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the STOP_REASON of the CONDITION_OCCURRENCE. (Threshold=100%).,100.00%
PASS,DEVICE_EXPOSURE,PRODUCTION_ID,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the PRODUCTION_ID of the DEVICE_EXPOSURE. (Threshold=100%).,100.00%
PASS,DEVICE_EXPOSURE,QUANTITY,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the QUANTITY of the DEVICE_EXPOSURE. (Threshold=100%).,100.00%
PASS,DEVICE_EXPOSURE,UNIT_CONCEPT_ID,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the UNIT_CONCEPT_ID of the DEVICE_EXPOSURE. (Threshold=100%).,100.00%
PASS,DEVICE_EXPOSURE,UNIT_SOURCE_CONCEPT_ID,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the UNIT_SOURCE_CONCEPT_ID of the DEVICE_EXPOSURE. (Threshold=100%).,100.00%
PASS,DEVICE_EXPOSURE,UNIT_SOURCE_VALUE,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the UNIT_SOURCE_VALUE of the DEVICE_EXPOSURE. (Threshold=100%).,100.00%
PASS,DRUG_EXPOSURE,DOSE_UNIT_SOURCE_VALUE,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the DOSE_UNIT_SOURCE_VALUE of the DRUG_EXPOSURE. (Threshold=100%).,100.00%
PASS,DRUG_EXPOSURE,ROUTE_SOURCE_VALUE,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the ROUTE_SOURCE_VALUE of the DRUG_EXPOSURE. (Threshold=100%).,100.00%
PASS,DRUG_EXPOSURE,SIG,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the SIG of the DRUG_EXPOSURE. (Threshold=100%).,100.00%
PASS,DRUG_EXPOSURE,STOP_REASON,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the STOP_REASON of the DRUG_EXPOSURE. (Threshold=100%).,100.00%
PASS,LOCATION,ADDRESS_1,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the ADDRESS_1 of the LOCATION. (Threshold=100%).,100.00%
PASS,LOCATION,ADDRESS_2,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the ADDRESS_2 of the LOCATION. (Threshold=100%).,100.00%
PASS,LOCATION,COUNTRY_CONCEPT_ID,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the COUNTRY_CONCEPT_ID of the LOCATION. (Threshold=100%).,100.00%
PASS,LOCATION,COUNTRY_SOURCE_VALUE,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the COUNTRY_SOURCE_VALUE of the LOCATION. (Threshold=100%).,100.00%
PASS,LOCATION,COUNTY,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the COUNTY of the LOCATION. (Threshold=100%).,100.00%
PASS,LOCATION,LATITUDE,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the LATITUDE of the LOCATION. (Threshold=100%).,100.00%
PASS,LOCATION,LONGITUDE,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the LONGITUDE of the LOCATION. (Threshold=100%).,100.00%
PASS,LOCATION,STATE,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the STATE of the LOCATION. (Threshold=100%).,100.00%
PASS,MEASUREMENT,MEAS_EVENT_FIELD_CONCEPT_ID,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the MEAS_EVENT_FIELD_CONCEPT_ID of the MEASUREMENT. (Threshold=100%).,100.00%
PASS,MEASUREMENT,MEASUREMENT_EVENT_ID,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the MEASUREMENT_EVENT_ID of the MEASUREMENT. (Threshold=100%).,100.00%
PASS,MEASUREMENT,RANGE_HIGH,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the RANGE_HIGH of the MEASUREMENT. (Threshold=100%).,100.00%
PASS,MEASUREMENT,RANGE_LOW,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the RANGE_LOW of the MEASUREMENT. (Threshold=100%).,100.00%
PASS,MEASUREMENT,UNIT_SOURCE_CONCEPT_ID,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the UNIT_SOURCE_CONCEPT_ID of the MEASUREMENT. (Threshold=100%).,100.00%
PASS,OBSERVATION,OBS_EVENT_FIELD_CONCEPT_ID,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the OBS_EVENT_FIELD_CONCEPT_ID of the OBSERVATION. (Threshold=100%).,100.00%
PASS,OBSERVATION,OBSERVATION_EVENT_ID,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the OBSERVATION_EVENT_ID of the OBSERVATION. (Threshold=100%).,100.00%
PASS,OBSERVATION,QUALIFIER_SOURCE_VALUE,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the QUALIFIER_SOURCE_VALUE of the OBSERVATION. (Threshold=100%).,100.00%
